,total,taxonomy
UNI10576,1160,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;Veillonella tobetsuensis
UNI9284,1016,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Finegoldia;Finegoldia magna ATCC 53516
UNI9108,974,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Calditerricola;Calditerricola satsumensis JCM 14719
UNI10861,966,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas campestris pv. musacearum NCPPB 4381
UNI11551,960,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;uncultured bacterium
UNI12401,948,Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostoc mesenteroides subsp. cremoris ATCC 19254
UNI9358,899,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria marina
UNI12098,869,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium tuberculostearicum SK141
UNI9279,855,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus tepidamans
UNI873,802,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae(F);uncultured bacterium
UNI11975,769,Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus;Thermus amyloliquefaciens
UNI9967,743,Bacteria;Chloroflexi;Chloroflexi Incertae Sedis;Unknown Order;Unknown Family;Thermobaculum;Thermobaculum terrenum
UNI9667,719,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;Escherichia coli ISC11
UNI12434,706,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris F0302
