,Px10,Px11,Px12,Px13,Px14,Px15,Px16,Px17,Px18,Px19,Px1,Px20,Px21,Px22,Px23,Px24,Px25,Px26,Px27,Px28,Px29,Px2,Px30,Px31,Px32,Px33,Px34,Px35,Px36,Px37,Px38,Px39,Px3,Px40,Px4,Px5,Px6,Px7,Px8,Px9,N1,N2,N3,N4,N5,N6,N7,N8
UNI12098,0,0,15,0,0,0,0,0,70,0,0,0,0,0,679,1,0,0,2,0,0,0,0,0,1,2,16,0,0,0,0,0,1,11,0,0,0,0,70,0,1,0,0,0,0,0,0,0
UNI9279,1,0,0,0,0,0,1,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0
UNI11975,8,0,0,0,0,0,0,0,0,0,2,0,0,24,2,3,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0
UNI9967,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI9667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,199,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI12434,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI11541,0,0,0,0,0,0,697,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI10761,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,645,0,0,0,0,0,0,0,0,0,0
UNI10863,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0
UNI1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0
UNI851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,631,0,1,0,0,0,0,0,0,0,0
UNI9357,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,616,0,0,0,0,0,0,0,0,0,0
UNI12233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI7460,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,97,0,0,2,3,507,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI10936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0
UNI867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,591,0,0,0,0,0,0,0,0,0,0
UNI12408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI11232,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI12481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI504,0,0,45,1,0,0,0,0,70,0,0,0,0,0,117,0,0,0,3,0,0,0,0,0,0,15,33,7,0,0,0,0,3,33,0,0,6,0,210,0,0,0,0,0,0,0,0,0
UNI9861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNI3094,0,10,1,0,0,0,0,0,20,11,6,0,4,0,0,24,12,5,0,0,0,4,1,3,15,0,1,0,0,0,0,1,0,0,0,3,0,4,75,0,0,0,0,0,0,0,287,0
UNI12044,0,0,25,0,0,0,0,0,36,0,0,0,0,0,123,2,0,1,2,0,0,0,0,0,0,0,45,2,0,1,0,0,4,51,0,0,3,0,166,0,0,0,0,0,0,0,0,0
UNI12241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0
UNI10789,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI10745,1,0,0,0,0,0,0,0,0,0,0,0,0,384,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0
UNI1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0
UNI840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,150,0,0,1,177,0,0,0,0,0,0,0,0,0,0
UNI12248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI976,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0
UNI469,0,0,107,3,0,0,0,0,78,0,0,0,0,0,90,3,0,2,0,0,0,0,0,0,0,21,1,1,0,0,0,1,3,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0
UNI1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0
UNI971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,298,0,0,0,0,0,0,0,0,0,0
UNI1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0
UNI12237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,0,2,0,0,0,0,0,0,0,28,2,0,2,0,0,0,26,0,0,8,0,163,0,0,0,0,0,0,0,0,1
UNI578,0,0,21,0,0,0,0,0,45,0,0,0,0,0,70,1,0,0,1,0,0,0,0,0,0,2,21,0,0,0,0,0,1,32,0,0,0,0,95,0,0,0,0,0,0,0,0,0
UNI10954,0,0,14,0,0,0,0,0,33,0,0,0,0,0,82,0,0,0,2,0,0,0,0,0,0,0,38,1,0,0,0,0,1,26,1,0,0,0,80,0,0,0,0,0,0,0,0,0
UNI10853,0,0,0,0,2,1,0,0,0,0,268,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
UNI962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,237,0,0,0,0,0,0,0,0,0,0
UNI4,21,2,7,0,1,0,2,0,0,4,6,3,1,4,0,12,13,6,2,25,2,3,14,2,2,0,0,56,1,1,7,0,4,1,11,4,0,0,3,1,0,0,0,47,0,0,0,0
UNI10933,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI11006,0,0,0,6,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI9048,0,0,0,0,0,0,0,0,0,0,0,0,73,0,2,0,0,0,0,0,0,2,0,146,4,0,0,0,0,5,0,2,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0
UNI12041,0,0,0,0,0,0,15,0,0,3,0,0,0,3,178,0,3,2,0,0,2,0,18,0,13,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0
UNI674,0,0,1,0,0,0,0,0,0,0,0,0,71,0,7,2,0,0,0,0,0,4,0,114,2,0,0,1,0,0,0,3,3,1,0,8,0,6,0,0,0,0,0,0,0,0,0,0
UNI685,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,142,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
UNI927,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0
UNI499,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI10194,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI11645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0
UNI1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0
UNI847,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,2,0,88,1,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
UNI904,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,87,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1
UNI1807,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI7592,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI644,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI2377,0,0,0,0,0,93,0,1,0,0,0,2,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
UNI2008,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI2515,0,0,0,0,0,0,0,5,0,0,92,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0
UNI1184,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI12058,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,48,0,26,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
UNI2367,0,0,0,0,0,40,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,8,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0
UNI2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,6,0,0,0,1,0,0,7,8,6,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UNI8093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI445,0,0,2,0,0,0,0,0,8,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,8,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0
